Zip,Median_Income,Mean_Income,Pop
54421,44577,53267,3455
21001,53979,66169,18974
87102,28388,39529,22204
94509,57457,66946,62439
8401,31112,45902,40509
73401,40071,51953,33362
97520,43272,62640,23789
41101,36312,54605,18758
12144,59477,70710,18277
44601,38865,48842,36685
24910,30914,40028,5383
49224,37556,50371,14900
49707,37672,47338,24065
62002,42798,51352,32704
79830,15703,23282,3487
16601,40571,49841,34966
22301,112924,147076,11162
97321,54087,64068,19504
1002,49853,75063,28069
12010,42485,53633,25949
92806,58040,69538,37173
54911,45701,58304,26674
48104,53342,73440,38881
95521,36385,50934,20199
19003,73987,106834,12739
97103,36786,45750,13797
71923,33162,48389,15637
95603,60643,76423,27844
97103,36786,45750,13797
23005,67036,84087,15227
93422,63195,73920,31375
83801,53147,64169,6150
30309,68825,110066,21845
36201,25135,33752,20150
78703,80708,129537,19307
97814,40318,49109,12435
21201,28937,43561,14548
49013,40380,48869,5504
4401,44997,58452,41557
92311,48387,56428,31894
4530,45563,53868,11539
92311,48387,56428,31894
2116,80153,136491,19480
22015,118292,128979,43102
48708,38128,47104,28898
97701,58077,73849,44673
34205,41773,51134,29656
97701,58077,73849,44673
98225,37035,47829,46172
85602,39332,50728,9464
61080,60285,67501,10599
93301,35131,50001,12248
14203,20209,39080,1184
49307,25011,37606,16103
35203,15842,35805,3798
3570,39342,45740,10270
97415,39474,53150,13262
94710,44289,60528,6948
5101,37968,55254,4643
48009,112772,158797,19306
77704,NaN,NaN,NaN
27217,36229,46877,34390
97701,58077,73849,44673
98605,44409,55550,1225
61761,48696,57597,52879
97720,38353,47192,4752
83702,51775,76099,22293
5301,44422,58122,16820
39601,36836,53667,22985
52601,40073,51605,29723
59417,34525,43196,7330
6604,34905,47818,30313
49017,43493,53946,21583
70802,24100,32999,27267
14043,50187,58352,26663
93427,75089,101917,5505
91505,68901,83275,30778
53916,48175,58271,22507
21240,NaN,NaN,NaN
98812,39741,57090,4899
49713,49799,67687,1861
43506,46199,56158,14956
29020,41106,56556,22463
97110,41705,62977,1210
76031,43536,53554,17759
53925,52921,65779,7781
97420,36764,47761,26945
92230,36795,76274,2550
21613,40843,56389,16388
62901,27420,41659,27182
62801,37901,48227,22415
83814,43747,59551,23371
99111,50425,57350,4047
60606,83429,111808,2308
61820,26670,36859,36964
54729,51233,61192,31469
29405,27767,36384,26328
25314,75839,105037,14542
95928,44704,60869,36511
45203,16899,32458,3070
29201,26146,43225,20594
49601,40276,50875,19921
44114,22793,35828,4081
24422,36740,49023,6315
97604,37028,44304,12
91711,88143,107320,35705
22701,61257,72377,30612
28206,24984,31253,12567
95425,56022,67085,10841
93010,85888,100036,42901
97731,37257,44844,284
3301,52876,72338,31800
93219,25783,33171,10194
5735,44078,59181,4402
93212,18761,25764,13961
47331,36761,46421,23429
80903,35789,46570,15057
19320,66973,78706,42161
15425,35335,43992,21845
95713,67706,76642,9495
93013,68142,93302,16076
95531,38464,46683,20589
47933,48378,56282,27937
93923,81366,124260,11502
50891,NaN,NaN,NaN
10520,95299,123312,12434
62626,50694,65323,8354
29631,37452,56877,13318
98531,39493,48635,24121
21502,39161,51985,43963
21502,39161,51985,43963
59427,43662,54699,4876
86322,41011,50634,11480
97330,46534,60501,40602
97523,25167,36334,5871
99114,41026,50511,12018
22903,46254,68008,38229
19020,61503,70877,53558
99109,32852,43150,5109
91311,79446,100833,35104
27513,83414,96154,36232
75202,65298,77331,1666
4543,47692,57506,2048
24541,32707,44684,28221
95616,52881,71880,47032
94588,119840,136908,30842
33525,49241,63693,18439
67801,45544,53110,30559
80202,55448,84968,10148
88030,27774,38854,22999
80202,55448,84968,10148
48126,31505,44308,46455
48202,23146,35311,22101
33442,49528,58172,28075
3824,60676,89886,12659
29536,28252,39481,17722
33444,47514,65045,20221
32720,44250,58702,29700
56501,45152,58642,14995
27701,27342,39730,23960
29042,27521,41935,5868
49047,40877,51801,15501
3820,59989,73476,26940
19335,95344,112255,41139
